         Вид функции |             Линейная |       Полиномиальная |     Экспоненциальная |      Логарифмическая |            Степенная |
   x = 0.1, y = 1.41 |  -0.2605128205128146 |   1.7545054945055012 |   1.4075983431299124 |   0.8285007104978317 |  -2.0153317077567383 |
   x = 0.4, y = 1.74 |   0.8210955710955765 |   1.7370129870129896 |   1.7344690495091852 |    2.068434367921982 |   2.1838089235480784 |
   x = 0.7, y = 2.15 |   1.9027039627039675 |   1.9393406593406584 |    2.137245257774249 |    2.992557639465787 |   3.8789073520960877 |
   x = 1.0, y = 2.64 |   2.9843123543123586 |    2.361488511488508 |   2.6335536475390584 |    3.786823432895106 |    4.959289911000525 |
   x = 1.3, y = 3.23 |    4.065920745920749 |   3.0034565434565383 |    3.245114143656631 |     4.50272721090436 |    5.754001679313464 |
   x = 1.6, y = 3.95 |   5.1475291375291405 |     3.86524475524475 |   3.9986904444497853 |     5.16405197990715 |    6.382949554852896 |
   x = 1.9, y = 4.92 |    6.229137529137532 |    4.946853146853141 |   4.9272612804050215 |    5.784255424174533 |    6.903490802512561 |
   x = 2.2, y = 6.07 |    7.310745920745923 |   6.2482817182817145 |    6.071463661078458 |    6.371884868127783 |    7.347558543415904 |
   x = 2.5, y = 7.45 |    8.392354312354314 |    7.769530469530468 |     7.48137127097228 |    6.932795129646753 |    7.734770898452972 |
   x = 2.8, y = 9.21 |    9.473962703962705 |      9.5105994005994 |    9.218685842251658 |    7.471217575346561 |    8.078047983400905 |
  x = 3.1, y = 11.42 |   10.555571095571096 |   11.471488511488516 |   11.359437405261483 |    7.990335466979259 |    8.386351803446232 |
  x = 3.4, y = 14.07 |   11.637179487179488 |    13.65219780219781 |   13.997311587801825 |    8.492619473599708 |    8.666154255717135 |
    Сумм. отклонение |   16.824396736596732 |   0.7013192807192821 | 0.012905697141803976 |   52.563584138426194 |    77.92128964227474 |
   Среднеквадр. откл |   1.1840747701826355 |  0.24175043618011013 |  0.03279443187214863 |   2.0929163094118652 |   2.5482230678500057 |
       Коэффициент a |   3.6053613053613036 |   1.2212232212232261 |   1.3129539006418447 |    3.786823432895106 |    4.959289911000525 |
       Коэффициент b |   -0.621048951048945 |  -0.6689199689199855 |   0.6960546461686792 |     0.65998217067786 |   3.0290396823894055 |
       Коэффициент c |                    0 |   1.8091852591852675 |                    0 |                    0 |                    0 |
